(\a.(\b.a)a)((\a.a)(\a.a)),10,9,16
(\a.a)(\ab.b)((\ab.a)((\a.a)(\a.a))),5,9,16
(\a.(\b.b)a)((\ab.b)((\a.a)(\a.a))),1,9,18
(\a.a(aa))(\a.a(\b.b)),1,10,12
(\a.a)(\a.aa)((\a.a)(\ab.a)),5,10,13
(\a.aa(\b.b))((\a.a)(\ab.a)),1,10,13
(\a.(\b.b)(aa))(\a.a(\b.a)),1,10,13
(\a.aa)(\ab.a)((\a.aa)(\a.a)),14,10,15
(\a.aa)(\a.a)((\a.a)(\a.a)(\a.a)),8,10,15
(\a.aa)(\a.(\b.a)(\b.b)),6,10,15
(\ab.ab)((\ab.a)((\a.a)(\a.a))),2,10,15
(\a.a)(\a.aa)(\a.(\b.b)a),1,10,15
(\a.a)(\a.aa)(\a.(\b.b)(\b.b)),1,10,15
(\a.(\b.a)a)(\a.(\b.a)a),30,10,17
(\ab.a)((\a.a)(\a.a))(\a.(\b.a)a),20,10,17
(\ab.a)((\a.a)(\a.a)((\a.a)(\a.a))),3,10,17
(\a.a)((\a.a)(\a.a))((\a.a)(\a.a)(\a.a)),4,10,18
(\a.aa)(\a.a)((\a.a)((\a.a)(\a.a))),3,10,18
(\a.aa)(\ab.a)((\a.a)((\a.a)(\a.a))),2,10,18
(\a.aa)(\ab.a)((\ab.b)((\a.a)(\a.a))),2,10,18
(\a.aaa)((\a.a)(\a.aa)),2,10,19
(\a.a)((\a.a)(\a.a))((\a.a)((\a.a)(\a.a))),1,10,21
(\ab.b)((\a.a)(\a.a))((\a.a)((\a.a)(\a.a))),1,10,21
(\a.(\b.a)(\b.b))((\a.a)((\a.a)(\a.a))),1,10,21
(\a.(\b.b)(aa))((\a.a)(\a.aa)),1,10,21
(\a.(\b.b)(\b.b))((\ab.a)((\a.a)(\a.a))),1,10,21
(\a.a)(\a.a)(\a.aa)((\a.a)(\ab.b)),5,11,15
(\a.a)(\a.a)(\a.aa)((\a.a)(\a.a)),1,11,15
(\a.aa)(\a.a)((\a.aa)(\a.a)),7,11,16
(\ab.ab)((\a.a)(\a.a)((\a.a)(\a.a))),2,11,18
(\ab.b)((\a.a)(\a.a))((\a.aa)(\a.a)),5,11,19
(\a.(\b.a)(\b.b))((\a.aa)(\a.a)),5,11,19
(\a.a)(\a.a)((\a.a)(\a.a))((\a.a)(\a.a)),4,11,19
(\a.a)((\a.a)(\a.a))((\a.aa)(\a.a)),1,11,19
(\a.a)(\ab.b)((\a.a)(\a.a)((\a.a)(\a.a))),5,11,22
(\a.a)(\a.a)((\a.a)(\a.a)((\a.a)(\a.a))),1,11,22
(\a.(\b.a)(\b.b))((\ab.b)((\a.a)(\a.a))),1,11,23
(\a.a)(\a.a)(\a.aa)((\a.a)(\ab.a)),5,12,16
(\a.aa)(\a.a)((\a.aa)(\ab.a)),13,12,17
(\a.a)(\a.aa)(\a.(\b.a)(\b.b)),2,12,18
(\a.aa(\b.b))(\a.(\b.a)(\b.b)),2,12,18
(\a.a)(\a.a)(\a.aa)(\a.(\b.b)a),1,12,18
(\a.a)(\a.a)(\a.aa)(\a.(\b.b)(\b.b)),1,12,18
(\a.a(\b.a))((\a.a)(\a.aa)),1,12,18
(\a.a)(\a.a)((\a.a)(\a.a))(\a.(\b.a)a),16,12,20
(\a.(\b.b)(\b.a))((\a.aa)(\a.a)),15,12,20
(\a.aa)(\a.(\b.a)a),6,12,20
(\a.a)((\a.a)(\a.a))((\a.aa)(\ab.a)),2,12,20
(\ab.b)((\a.a)(\a.a))((\a.aa)(\ab.a)),2,12,20
(\ab.aa)((\a.a)(\a.a)(\a.aa)),2,12,20
(\a.aa)(\a.a)((\ab.b)((\a.a)(\a.a))),4,12,21
(\a.a)(\a.a)(\ab.a)((\a.a)((\a.a)(\a.a))),1,12,21
(\a.a)((\a.aa)((\a.a)(\a.a))),2,12,22
(\a.(\b.b)a)((\ab.a)((\a.a)(\a.a))),2,12,24
(\a.a)((\a.a)(\a.a))((\ab.b)((\a.a)(\a.a))),1,12,24
(\ab.b)((\a.a)(\a.a))((\ab.b)((\a.a)(\a.a))),1,12,24
(\a.(\b.b)(\b.a))((\ab.b)((\a.a)(\a.a))),1,12,24
(\a.(\b.b)(\b.b))((\a.a)(\a.a)((\a.a)(\a.a))),1,12,28
(\a.aa)((\a.aa)(\ab.a)),6,13,20
(\a.aa)((\a.aa)(\a.a)),3,13,20
(\a.aaa)((\ab.a)(\ab.b)),2,13,22
(\a.aaa)((\a.a)(\a.a)),1,13,22
(\a.aaa)((\a.a)(\ab.b)),1,13,22
(\a.aa)(\ab.a)((\ab.a)((\a.a)(\a.a))),2,13,24
(\a.a(aa))((\a.a)(\ab.b)),5,13,25
(\ab.b)(\a.a)((\a.a)(\a.a)((\a.a)(\a.a))),4,13,25
(\a.a(aa))((\a.a)(\a.a)),1,13,25
(\a.aa)((\a.a)((\a.a)(\a.a))),2,13,27
(\a.(\b.b)a)((\a.a)(\a.a)((\a.a)(\a.a))),1,13,30
(\a.(\b.a)(aa))((\a.a)(\a.aa)),1,13,32
(\a.a)(\a.a)(\a.aa)(\a.(\b.a)(\b.b)),2,14,21
(\a.aa(\b.b))((\a.aa)(\ab.a)),2,14,21
(\a.aa(\b.b))((\a.a)(\a.a)(\a.a)),1,14,21
(\ab.aa)((\a.aa)(\a.a)),1,14,21
(\a.aaa)((\ab.a)(\a.a)),5,14,23
(\a.a)(\a.aa)(\a.(\b.a)a),2,14,23
(\a.aa(\b.b))(\a.(\b.a)a),2,14,23
(\a.aa(aa))(\ab.ab),1,14,23
(\a.aa(\b.a))((\a.a)(\a.a)),1,14,23
(\a.(\b.b)(aa))((\ab.b)(\a.a)),7,14,25
(\a.(\b.b)(aa))((\a.a)(\ab.b)),5,14,25
(\ab.a)((\a.a)(\a.a))((\a.aa)(\a.a)),7,14,27
(\a.aa(\b.b))((\a.a)((\a.a)(\a.a))),1,14,28
(\a.(\b.b)(aa))(\a.(\b.b)a),1,14,29
(\ab.a)((\a.a)(\a.a))((\a.a)((\a.a)(\a.a))),1,14,31
(\ab.a)((\a.a)(\a.a))((\ab.b)((\a.a)(\a.a))),1,14,31
(\a.aa)((\a.aa)(\ab.b)),8,15,22
(\a.aa(\b.b))((\a.aa)(\a.a)),1,15,22
(\ab.ab)((\a.aa)((\a.a)(\a.a))),2,15,26
(\a.aa)((\a.a)(\a.a))((\a.a)(\a.a)),4,15,27
(\a.a)(\ab.a)((\a.a)(\a.a)((\a.a)(\a.a))),1,15,28
(\a.aa)((\ab.b)((\a.a)(\a.a))),3,15,30
(\a.a(\b.a))((\a.a)((\a.a)(\a.a))),1,15,30
(\a.(\b.b)(aa))(\a.(\b.b)(\b.b)),1,15,31
(\a.a)(\ab.b)((\a.aa)((\a.a)(\a.a))),5,15,32
(\a.(\b.a)(aa))((\a.a)(\a.a)),1,15,35
(\a.(\b.a)(aa))((\a.a)(\ab.b)),1,15,35
(\a.aa(\b.b))((\a.aa)(\ab.b)),1,16,23
(\a.a)(\a.aa)((\a.aa)(\a.a)),2,16,25
(\a.a)(\a.aa)((\a.aa)(\ab.a)),2,16,25
(\a.aaa)((\ab.b)(\a.a)),8,16,26
(\a.a)(\a.a)(\a.aa)(\a.(\b.a)a),2,16,26
(\a.aa)((\a.a)(\a.a))(\a.(\b.a)a),16,16,28
(\a.aa)(\a.a)((\ab.a)((\a.a)(\a.a))),4,16,28
(\a.aaa)((\a.a)(\ab.a)),2,16,28
(\a.(\b.b)(aa))((\a.a)(\ab.a)),1,16,28
(\a.a(aa))((\ab.b)(\a.a)),4,16,30
(\a.aaa)(\a.(\b.b)(\b.b)),2,16,30
(\a.a)(\a.a)((\a.a)(\a.a))((\a.a)(\a.a)(\a.a)),4,16,31
(\a.aa(\b.b))((\ab.b)((\a.a)(\a.a))),1,16,31
(\a.aaa)(\a.(\b.b)a),2,16,32
(\a.(\b.a)(\b.b))((\ab.a)((\a.a)(\a.a))),2,16,32
(\a.a)((\a.a)(\a.a))((\ab.a)((\a.a)(\a.a))),1,16,32
(\ab.b)((\a.a)(\a.a))((\ab.a)((\a.a)(\a.a))),1,16,32
(\a.aa)(\a.a)((\a.a)(\a.a)((\a.a)(\a.a))),2,16,33
(\a.aa)(\ab.a)((\a.a)(\a.a)((\a.a)(\a.a))),2,16,33
(\a.a)(\a.aa)((\a.a)((\a.a)(\a.a))),1,16,33
(\a.(\b.a)(aa))((\ab.a)(\a.a)),4,16,36
(\a.a)(\a.a)((\a.a)(\a.a))((\a.a)((\a.a)(\a.a))),1,16,36
(\a.a)((\a.a)(\a.a))((\a.a)(\a.a)((\a.a)(\a.a))),1,16,38
(\a.a(aa))(\a.(\b.b)a),1,16,40
(\a.a(aa))(\a.(\b.b)(\b.b)),1,16,40
(\a.(\b.b)(\b.b))((\a.aa)((\a.a)(\a.a))),1,16,40
(\a.(\b.a)a)((\a.a)((\a.a)(\a.a))),2,16,42
(\a.aaa)((\ab.a)(\a.aa)),1,17,28
(\a.a)(\a.a)((\a.a)(\a.a))((\a.aa)(\a.a)),1,17,32
(\a.(\b.a)a)((\a.aa)(\a.a)),11,17,35
(\a.a)(\a.a)((\a.aa)((\a.a)(\a.a))),1,17,35
(\a.(\b.a)(aa))((\a.a)(\ab.a)),2,17,40
(\a.(\b.a)a)((\ab.b)((\a.a)(\a.a))),1,17,44
(\a.a)(\a.aa)((\a.aa)(\ab.b)),2,18,27
(\a.aa(\b.b))((\a.a)(\a.a)(\ab.a)),1,18,27
(\a.aa(\b.a))((\ab.a)(\a.aa)),1,18,31
(\a.a)(\a.a)((\a.a)(\a.a))((\a.aa)(\ab.a)),2,18,33
(\a.a(\b.a))(\a.(\b.b)(aa)),1,18,35
(\a.(\b.a)a)((\a.aa)(\ab.a)),3,18,36
(\a.a)(\a.aa)((\ab.b)((\a.a)(\a.a))),1,18,36
(\a.aa)(\ab.b)((\a.a)(\a.a)((\a.a)(\a.a))),1,18,36
(\a.(\b.b)(aa))(\a.(\b.a)(\b.b)),2,18,37
(\a.a)(\a.a)((\a.a)(\a.a))((\ab.b)((\a.a)(\a.a))),1,18,39
(\a.(\b.a)(aa))((\ab.b)(\a.aa)),3,18,41
(\ab.a)((\a.a)(\a.a))((\ab.a)((\a.a)(\a.a))),1,18,41
(\ab.b)((\a.a)(\a.a))((\a.a)(\a.a)((\a.a)(\a.a))),1,18,41
(\a.(\b.a)(\b.b))((\a.a)(\a.a)((\a.a)(\a.a))),1,18,41
(\a.(\b.a)(aa))(\a.(\b.b)a),1,18,45
(\a.(\b.a)(aa))(\a.(\b.b)(\b.b)),1,18,45
(\a.(\b.a)(\b.a))((\ab.b)((\a.a)(\a.a))),1,18,45
(\a.aa(aa))((\a.a)(\a.aa)),1,18,51
(\a.a)(\a.a)(\a.aa)((\a.aa)(\a.a)),2,19,30
(\a.a)(\a.a)(\a.aa)((\a.aa)(\ab.a)),2,19,30
(\ab.b)(\a.a)((\a.aa)((\a.a)(\a.a))),4,19,38
(\a.a)(\a.a)(\a.aa)((\a.a)((\a.a)(\a.a))),1,19,39
(\a.(\b.b)a)((\a.aa)((\a.a)(\a.a))),1,19,45
(\a.aa(aa))(\a.a(\b.b)),1,20,31
(\a.a(aa))((\a.a)(\ab.a)),1,20,36
(\a.a)(\a.a)(\ab.a)((\a.a)(\a.a)((\a.a)(\a.a))),1,20,39
(\a.aaa)(\a.(\b.b)(\b.a)),2,20,40
(\a.(\b.b)(\b.a))((\a.a)(\a.a)((\a.a)(\a.a))),1,20,44
(\a.a(\b.a))(\a.(\b.a)(aa)),1,20,48
(\a.a)(\a.a)(\a.aa)((\a.aa)(\ab.b)),2,21,32
(\a.a)(\ab.a)((\a.aa)((\a.a)(\a.a))),1,21,41
(\a.a)(\a.a)(\a.aa)((\ab.b)((\a.a)(\a.a))),1,21,42
(\a.(\b.b)(aa))((\a.a)(\a.a)(\a.aa)),1,21,47
(\a.aaa)(\a.(\b.a)(\b.b)),2,22,43
(\a.aa)((\a.a)(\a.a))((\a.a)(\a.a)(\a.a)),4,22,44
(\a.aa)(\ab.a)((\a.aa)((\a.a)(\a.a))),2,22,48
(\a.aa)((\ab.a)((\a.a)(\a.a))),3,22,49
(\a.(\b.b)(aa))(\a.(\b.a)a),2,22,49
(\a.aa)((\a.a)(\a.a))((\a.a)((\a.a)(\a.a))),1,22,51
(\ab.a)((\a.a)(\a.a))((\a.a)(\a.a)((\a.a)(\a.a))),1,22,55
(\a.(\b.a)(aa))(\a.(\b.a)(\b.b)),2,22,57
(\a.aa)((\a.a)(\a.a))((\a.aa)(\a.a)),1,23,45
(\a.(\b.b)(aa))((\a.a)(\a.a)(\a.a)),1,23,48
(\a.aa(\b.b))((\ab.a)((\a.a)(\a.a))),1,23,50
(\a.(\b.b)(aa))((\a.a)((\a.a)(\a.a))),1,23,61
(\a.a(\b.a))((\a.a)(\a.a)(\a.aa)),1,24,43
(\a.aa)((\a.a)(\a.a))((\a.aa)(\ab.a)),2,24,46
(\a.(\b.b)(aa))((\a.aa)(\a.a)),1,24,50
(\a.aa)(\a.a)((\a.aa)((\a.a)(\a.a))),2,24,51
(\a.a)(\a.a)((\a.a)(\a.a))((\ab.a)((\a.a)(\a.a))),1,24,52
(\a.aa)((\a.a)(\a.a))((\ab.b)((\a.a)(\a.a))),1,24,54
(\a.a)((\a.a)(\a.a))((\a.aa)((\a.a)(\a.a))),1,24,58
(\a.(\b.b)(aa))((\a.aa)(\ab.a)),2,26,53
(\a.aa)(\ab.b)((\a.aa)((\a.a)(\a.a))),1,26,54
(\a.a)(\a.aa)((\ab.a)((\a.a)(\a.a))),1,26,57
(\ab.b)((\a.a)(\a.a))((\a.aa)((\a.a)(\a.a))),1,26,61
(\a.(\b.a)(\b.b))((\a.aa)((\a.a)(\a.a))),1,26,61
(\a.a)(\a.a)((\a.a)(\a.a))((\a.a)(\a.a)((\a.a)(\a.a))),1,26,65
(\a.a(aa))((\a.a)(\a.aa)),1,26,71
(\a.(\b.a)(aa))(\a.(\b.a)a),2,26,73
(\a.(\b.b)(aa))((\a.aa)(\ab.b)),1,27,54
(\a.aa(aa))((\ab.a)(\a.aa)),1,27,68
(\a.(\b.b)(aa))((\ab.b)((\a.a)(\a.a))),1,27,69
(\a.a)(\a.a)(\ab.a)((\a.aa)((\a.a)(\a.a))),1,28,57
(\a.aaa)(\a.(\b.a)a),4,28,60
(\a.(\b.b)(\b.a))((\a.aa)((\a.a)(\a.a))),1,28,64
(\a.aa(aa))((\a.a)(\a.a)),1,28,68
(\a.aa(aa))((\ab.a)(\ab.b)),1,28,68
(\a.(\b.a)a)((\ab.a)((\a.a)(\a.a))),2,28,72
(\a.a(aa))(\a.(\b.a)(\b.b)),1,28,72
(\a.(\b.b)(aa))((\a.a)(\a.a)(\ab.a)),1,30,59
(\a.a)(\a.a)(\a.aa)((\ab.a)((\a.a)(\a.a))),1,30,65
(\a.aaa)((\a.a)(\a.a)(\a.aa)),2,30,68
(\ab.a)((\a.a)(\a.a))((\a.aa)((\a.a)(\a.a))),1,30,79
(\a.aa)((\a.a)(\a.a)((\a.a)(\a.a))),2,31,76
(\a.aa)((\a.a)(\a.a))((\ab.a)((\a.a)(\a.a))),1,32,72
(\a.aa(aa))((\a.a)(\ab.b)),3,32,74
(\a.aa(\b.b))((\a.a)(\a.a)((\a.a)(\a.a))),1,32,77
(\a.aaa)((\a.a)(\a.a)(\a.a)),1,34,73
(\a.a(aa))((\a.aa)(\ab.a)),2,34,80
(\a.a(aa))((\a.a)(\a.a)(\a.a)),1,34,80
(\a.a(aa))(\a.(\b.b)(\b.a)),1,34,83
(\a.aaa)((\a.a)((\a.a)(\a.a))),1,34,102
(\a.a(aa))((\a.a)((\a.a)(\a.a))),1,34,109
(\a.aaa)((\a.a)(\a.a)(\ab.b)),1,35,74
(\a.a(\b.a))((\a.a)(\a.a)((\a.a)(\a.a))),1,35,82
(\a.(\b.a)(aa))((\a.a)(\a.a)(\a.aa)),1,35,104
(\a.aaa)((\a.aa)(\ab.a)),3,36,75
(\a.aa(\b.a))((\a.a)(\a.a)(\a.a)),1,36,75
(\a.a)(\a.aa)((\a.a)(\a.a)((\a.a)(\a.a))),1,36,87
(\a.aa)((\a.a)(\a.a))((\a.a)(\a.a)((\a.a)(\a.a))),1,36,92
(\a.aa(\b.a))((\a.a)((\a.a)(\a.a))),1,36,105
(\a.(\b.a)(aa))((\a.a)((\a.a)(\a.a))),1,37,138
(\a.a(aa))(\a.a(\b.a)),1,38,76
(\a.aaa)((\a.aa)(\a.a)),1,38,79
(\a.a(aa))((\a.aa)(\a.a)),1,38,87
(\a.a)(\a.a)((\a.a)(\a.a))((\a.aa)((\a.a)(\a.a))),1,38,97
(\a.(\b.a)(aa))((\a.a)(\a.a)(\a.a)),1,38,109
(\a.(\b.a)(aa))((\a.a)(\a.a)(\ab.b)),1,38,109
(\a.(\b.a)a)((\a.a)(\a.a)((\a.a)(\a.a))),2,38,115
(\a.aa(\b.a))((\a.aa)(\a.a)),1,39,80
(\a.(\b.a)(aa))((\a.aa)(\ab.a)),1,39,110
(\a.aa(aa))((\ab.b)(\a.a)),4,40,94
(\a.aa(aa))((\a.a)(\ab.a)),1,40,100
(\a.aa(aa))(\a.(\b.b)a),1,40,124
(\a.a)(\a.a)(\a.aa)((\a.a)(\a.a)((\a.a)(\a.a))),1,41,98
(\a.(\b.a)(aa))((\a.aa)(\a.a)),1,41,117
(\a.aaa)((\a.aa)(\ab.b)),2,42,85
(\a.aaa)((\a.a)(\a.a)(\ab.a)),2,42,91
(\a.a(aa))((\a.aa)(\ab.b)),1,42,94
(\a.aaa)((\ab.b)((\a.a)(\a.a))),2,42,120
(\a.a(aa))((\ab.b)((\a.a)(\a.a))),1,42,129
(\a.(\b.b)(aa))((\ab.a)((\a.a)(\a.a))),1,43,119
(\a.aa(aa))(\a.(\b.b)(\b.b)),1,43,125
(\a.(\b.a)(aa))((\ab.b)((\a.a)(\a.a))),1,43,159
(\a.(\b.a)(aa))((\a.a)(\a.a)(\ab.a)),1,44,125
(\a.(\b.a)(aa))((\a.aa)(\ab.b)),1,45,126
(\a.aa(aa))(\a.a(\b.a)),1,50,97
